iter	Passed	Remaining
0	2	254
1	4	244
2	8	285
3	11	274
4	13	256
5	15	237
6	17	225
7	19	220
8	21	214
9	22	205
10	24	197
11	26	191
12	27	185
13	29	180
14	30	174
15	32	172
16	34	169
17	36	167
18	38	164
19	40	161
20	42	158
21	43	154
22	45	151
23	46	148
24	48	146
25	50	143
26	52	140
27	53	138
28	55	136
29	57	134
30	59	132
31	60	129
32	62	127
33	64	125
34	65	122
35	67	119
36	69	117
37	70	115
38	72	113
39	74	111
40	75	108
41	76	106
42	79	105
43	84	107
44	87	106
45	89	104
46	91	103
47	93	101
48	96	99
49	97	97
50	99	95
51	100	93
52	102	90
53	103	88
54	105	85
55	107	84
56	109	82
57	111	80
58	112	78
59	114	76
60	116	74
61	117	72
62	119	70
63	121	68
64	123	66
65	125	64
66	127	62
67	129	60
68	130	58
69	132	56
70	134	54
71	136	53
72	138	51
73	142	50
74	145	48
75	147	46
76	148	44
77	150	42
78	152	40
79	154	38
80	155	36
81	157	34
82	158	32
83	160	30
84	162	28
85	163	26
86	165	24
87	168	22
88	170	21
89	172	19
90	174	17
91	175	15
92	177	13
93	180	11
94	182	9
95	184	7
96	186	5
97	187	3
98	189	1
99	191	0
